description,hostname,field_name,field_value,snmp_index,data_source_path
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/20,776,<path_rra>/p-d5-rkt_traffic_in_169345.rrd
 P-D5-RKT,61.5.14.165,ifName,HundredGigE0/13/0/19,775,<path_rra>/p-d5-rkt_traffic_in_169344.rrd
 P-D2-JT2,61.5.14.159,ifName,HundredGigE0/1/0/2,503,<path_rra>/p-d2-jt2_new_traffic_in_153492.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/15/0/12,1543,<path_rra>/p-d1-bds_traffic_in_175213.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/19,716,<path_rra>/p-d7-mdo_traffic_in_178851.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/18,715,<path_rra>/p-d7-mdo_traffic_in_178850.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/17,714,<path_rra>/p-d7-mdo_traffic_in_178849.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/16,713,<path_rra>/p-d7-mdo_traffic_in_178848.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/15,712,<path_rra>/p-d7-mdo_traffic_in_178847.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/14,711,<path_rra>/p-d7-mdo_traffic_in_178846.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/12,710,<path_rra>/p-d7-mdo_traffic_in_178845.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/11,709,<path_rra>/p-d7-mdo_traffic_in_178844.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/10,708,<path_rra>/p-d7-mdo_traffic_in_178843.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/20,717,<path_rra>/p-d7-mdo_traffic_in_178852.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/29,726,<path_rra>/p-d7-mdo_traffic_in_178861.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/28,725,<path_rra>/p-d7-mdo_traffic_in_178860.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/27,724,<path_rra>/p-d7-mdo_traffic_in_178859.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/26,723,<path_rra>/p-d7-mdo_traffic_in_178858.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/25,722,<path_rra>/p-d7-mdo_traffic_in_178857.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/22,719,<path_rra>/p-d7-mdo_traffic_in_178854.rrd
 P-D7-MDO,61.5.14.54,ifName,HundredGigE0/14/0/21,718,<path_rra>/p-d7-mdo_traffic_in_178853.rrd
 P-D7-PNK,61.5.14.55,ifName,HundredGigE0/14/0/22,681,<path_rra>/p-d7-pnk_traffic_in_177092.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/8/0/0,1159,<path_rra>/p-d1-bds_traffic_in_146009.rrd
 P-D1-BDS,61.5.14.56,ifName,HundredGigE0/8/0/26,1158,<path_rra>/p-d1-bds_traffic_in_146008.rrd
